pid,gender_DEMO,race_DEMO,orientation_heterosexual_DEMO,student_international_DEMO,student_1stGen_DEMO,parent_edu_mother_DEMO,parent_edu_father_DEMO,generation_DEMO,disability_DEMO
INS-W_600,1.0,Asian,1,1,0,1,0,1,0
INS-W_601,2.0,White,0,0,0,1,1,0,0
INS-W_602,2.0,White,1,0,1,0,0,0,0
INS-W_603,1.0,Asian,1,0,1,0,0,0,0
INS-W_604,1.0,Asian,1,1,0,0,0,1,0
INS-W_605,2.0,Asian,1,0,1,0,0,0,0
INS-W_606,2.0,Asian,0,0,0,0,0,0,0
INS-W_607,1.0,Asian,1,0,0,1,1,0,0
INS-W_608,1.0,Asian,1,0,0,0,1,0,0
INS-W_609,2.0,Asian,1,0,1,0,0,0,0
INS-W_610,2.0,Asian,1,0,0,1,1,0,0
INS-W_611,2.0,Asian,1,0,0,1,1,0,1
INS-W_612,1.0,Latinx,1,0,1,0,0,0,0
INS-W_613,1.0,White,1,0,0,1,0,0,0
INS-W_614,1.0,Asian,1,0,0,1,1,0,0
INS-W_615,2.0,Asian,1,0,1,0,0,0,0
INS-W_616,2.0,Asian,1,0,1,0,0,1,0
INS-W_617,2.0,White,1,0,0,1,0,0,0
INS-W_618,1.0,Asian,1,1,0,1,0,1,0
INS-W_619,1.0,White,1,0,0,0,1,0,0
INS-W_620,1.0,Asian,1,1,0,0,1,0,0
INS-W_621,1.0,White,1,0,0,0,1,0,0
INS-W_622,2.0,Asian,1,0,1,0,0,1,0
INS-W_623,2.0,White,1,0,1,0,0,0,1
INS-W_624,2.0,Asian,1,1,1,0,0,1,0
INS-W_625,1.0,White,1,0,0,1,0,0,0
INS-W_626,2.0,Asian,0,0,0,0,0,0,0
INS-W_627,2.0,Asian,1,0,1,0,0,0,0
INS-W_628,1.0,White,1,0,0,1,0,0,0
INS-W_629,1.0,Asian,1,1,0,0,1,1,0
INS-W_631,2.0,Biracial,1,0,0,0,0,0,0
INS-W_632,1.0,White,1,0,0,0,0,0,0
INS-W_634,2.0,Asian,1,0,0,1,0,1,1
INS-W_635,1.0,Asian,1,1,0,1,1,1,0
INS-W_636,1.0,Asian,1,0,0,0,0,0,0
INS-W_637,2.0,Asian,1,0,1,0,0,0,0
INS-W_638,2.0,White,0,0,0,0,1,1,0
INS-W_639,1.0,White,1,0,1,0,0,0,0
INS-W_640,1.0,Asian,1,0,1,0,0,0,0
INS-W_641,2.0,Asian,1,0,0,0,0,1,0
INS-W_642,2.0,White,0,0,0,0,0,0,0
INS-W_643,2.0,Asian,1,0,0,0,1,0,0
INS-W_644,1.0,Asian,1,1,0,0,0,1,0
INS-W_645,2.0,Asian,1,0,1,0,0,0,0
INS-W_646,1.0,Asian,1,0,1,0,0,0,0
INS-W_647,2.0,White,1,0,0,1,1,0,0
INS-W_648,1.0,Asian,1,0,0,0,0,0,0
INS-W_649,1.0,Asian,1,0,0,1,1,0,0
INS-W_650,2.0,Asian,1,0,0,0,0,0,0
INS-W_651,2.0,Asian,0,0,0,0,0,0,1
INS-W_652,2.0,Asian,1,0,0,0,0,0,0
INS-W_653,2.0,Asian,1,0,1,0,1,1,0
INS-W_654,2.0,Asian,1,0,1,0,0,0,0
INS-W_655,2.0,White,0,0,0,0,1,0,0
INS-W_656,1.0,Biracial,1,0,0,0,0,0,0
INS-W_657,1.0,White,1,0,0,0,0,1,0
INS-W_658,2.0,Asian,1,0,0,0,0,1,0
INS-W_659,2.0,Latinx,1,0,1,0,0,0,0
INS-W_660,2.0,Latinx,1,0,1,0,0,0,0
INS-W_661,2.0,Asian,1,0,0,0,1,0,0
INS-W_662,2.0,White,1,0,0,1,0,0,0
INS-W_663,1.0,Asian,1,0,1,0,0,0,0
INS-W_664,2.0,White,1,0,1,0,0,0,0
INS-W_665,2.0,Asian,1,0,0,0,0,0,0
INS-W_666,2.0,White,1,0,0,0,1,0,1
INS-W_667,2.0,White,1,0,0,0,0,0,0
INS-W_668,2.0,Asian,1,0,0,0,1,1,0
INS-W_669,2.0,Latinx,1,0,1,0,0,1,0
INS-W_670,1.0,Asian,0,0,0,0,1,1,0
INS-W_671,2.0,Asian,1,0,0,1,1,0,0
INS-W_672,1.0,Latinx,1,0,1,0,0,1,0
INS-W_673,1.0,Asian,1,0,0,0,1,0,0
INS-W_674,1.0,Asian,1,0,1,0,0,0,0
INS-W_675,1.0,White,1,0,0,0,1,1,0
INS-W_676,2.0,Asian,0,0,0,1,0,0,1
INS-W_677,2.0,White,1,0,0,0,1,0,0
INS-W_678,2.0,Asian,1,0,1,0,0,0,0
INS-W_679,1.0,Asian,1,0,0,1,1,0,0
INS-W_680,2.0,White,1,0,1,0,1,0,0
INS-W_681,1.0,Black,1,0,1,0,0,1,0
INS-W_682,1.0,Asian,1,0,0,0,1,0,0
INS-W_683,1.0,Asian,1,0,1,0,0,1,0
INS-W_684,2.0,Asian,1,0,0,0,0,0,0
INS-W_685,2.0,Biracial,1,0,0,0,1,1,0
INS-W_686,2.0,Asian,1,0,0,0,0,0,0
INS-W_687,2.0,Asian,1,0,0,0,0,0,0
INS-W_689,2.0,,1,0,0,1,0,0,1
INS-W_690,2.0,Asian,1,1,0,0,0,1,0
